iter	Passed	Remaining
830	1065	216
831	1066	215
832	1067	214
833	1069	212
834	1070	211
835	1071	210
836	1072	208
837	1073	207
838	1074	206
839	1075	204
840	1076	203
841	1077	202
842	1078	200
843	1080	199
844	1081	198
845	1082	197
846	1083	195
847	1084	194
848	1085	193
849	1086	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1091	185
855	1093	183
856	1094	182
857	1095	181
858	1096	180
859	1097	178
860	1098	177
861	1100	176
862	1101	174
863	1102	173
864	1103	172
865	1104	170
866	1105	169
867	1106	168
868	1107	166
869	1108	165
870	1109	164
871	1110	163
872	1111	161
873	1113	160
874	1114	159
875	1115	157
876	1116	156
877	1117	155
878	1118	153
879	1119	152
880	1120	151
881	1121	150
882	1122	148
883	1123	147
884	1124	146
885	1125	144
886	1126	143
887	1128	142
888	1128	140
889	1129	139
890	1130	138
891	1131	137
892	1132	135
893	1133	134
894	1134	133
895	1135	131
896	1136	130
897	1137	129
898	1138	127
899	1139	126
900	1140	125
901	1141	124
902	1142	122
903	1143	121
904	1144	120
905	1145	118
906	1146	117
907	1147	116
908	1148	114
909	1149	113
910	1150	112
911	1151	111
912	1152	109
913	1153	108
914	1154	107
915	1155	105
916	1156	104
917	1157	103
918	1158	102
919	1159	100
920	1160	99
921	1161	98
922	1162	96
923	1163	95
924	1164	94
925	1165	93
926	1166	91
927	1167	90
928	1168	89
929	1169	88
930	1170	86
931	1171	85
932	1172	84
933	1173	82
934	1174	81
935	1175	80
936	1177	79
937	1178	77
938	1179	76
939	1184	75
940	1185	74
941	1187	73
942	1189	71
943	1190	70
944	1192	69
945	1194	68
946	1198	67
947	1200	65
948	1201	64
949	1203	63
950	1204	62
951	1206	60
952	1207	59
953	1208	58
954	1210	57
955	1212	55
956	1213	54
957	1214	53
958	1216	52
959	1218	50
960	1219	49
961	1221	48
962	1222	46
963	1224	45
964	1225	44
965	1226	43
966	1228	41
967	1229	40
968	1231	39
969	1232	38
970	1234	36
971	1235	35
972	1237	34
973	1238	33
974	1239	31
975	1240	30
976	1241	29
977	1242	27
978	1243	26
979	1245	25
980	1246	24
981	1247	22
982	1249	21
983	1250	20
984	1252	19
985	1253	17
986	1255	16
987	1256	15
988	1257	13
989	1259	12
990	1260	11
991	1261	10
992	1262	8
993	1263	7
994	1264	6
995	1265	5
996	1267	3
997	1268	2
998	1269	1
999	1270	0
